"cds_id","gene","locus_tag","protein","protein_id"
"lcl_NZ_CP166677.1_cds_WP_054022879.1_52",NA,"ABFT21_RS00265","hypothetical protein","WP_054022879.1"
"lcl_NZ_CP166677.1_cds_WP_463938037.1_53",NA,"ABFT21_RS00270","IS1634 family transposase","WP_463938037.1"
"lcl_NZ_CP166677.1_cds_WP_197284649.1_54",NA,"ABFT21_RS00275","hypothetical protein","WP_197284649.1"
"lcl_NZ_CP166677.1_cds_WP_157548924.1_55",NA,"ABFT21_RS00280","PIN domain-containing protein","WP_157548924.1"
"lcl_NZ_CP166677.1_cds_WP_054020530.1_56",NA,"ABFT21_RS00285","helix-turn-helix domain-containing protein","WP_054020530.1"
"lcl_NZ_CP166677.1_cds_WP_054020529.1_57",NA,"ABFT21_RS00290","hypothetical protein","WP_054020529.1"
"lcl_NZ_CP166677.1_cds_WP_197284648.1_58",NA,"ABFT21_RS00295","type II toxin-antitoxin system VapC family toxin","WP_197284648.1"
"lcl_NZ_CP166677.1_cds_WP_231638135.1_59",NA,"ABFT21_RS00300","AbrB/MazE/SpoVT family DNA-binding domain-containing protein","WP_231638135.1"
"lcl_NZ_CP166677.1_cds_WP_054020526.1_60",NA,"ABFT21_RS00305","DUF1428 domain-containing protein","WP_054020526.1"
"lcl_NZ_CP166677.1_cds_WP_231638134.1_61",NA,"ABFT21_RS00310","PQQ-dependent sugar dehydrogenase","WP_231638134.1"
"lcl_NZ_CP166677.1_cds_WP_054020524.1_62",NA,"ABFT21_RS00315","DUF427 domain-containing protein","WP_054020524.1"
"lcl_NZ_CP166677.1_cds_WP_231638133.1_63","egtD","ABFT21_RS00320","L-histidine N(alpha)-methyltransferase","WP_231638133.1"
"lcl_NZ_CP166677.1_cds_WP_054020522.1_64","egtB","ABFT21_RS00325","ergothioneine biosynthesis protein EgtB","WP_054020522.1"
"lcl_NZ_CP166677.1_cds_WP_054020521.1_65",NA,"ABFT21_RS00330","GNAT family N-acetyltransferase","WP_054020521.1"
"lcl_NZ_CP166677.1_cds_WP_054020520.1_66",NA,"ABFT21_RS00335","LysR family transcriptional regulator","WP_054020520.1"
"lcl_NZ_CP166677.1_cds_WP_082368298.1_67",NA,"ABFT21_RS00340","pyridoxamine 5'-phosphate oxidase family protein","WP_082368298.1"
"lcl_NZ_CP166677.1_cds_WP_157548922.1_68",NA,"ABFT21_RS00345","hypothetical protein","WP_157548922.1"
"lcl_NZ_CP166677.1_cds_WP_054020518.1_69",NA,"ABFT21_RS00350","AAA family ATPase","WP_054020518.1"
"lcl_NZ_CP166677.1_cds_WP_054020517.1_70",NA,"ABFT21_RS00355","HNH endonuclease family protein","WP_054020517.1"
"lcl_NZ_CP166677.1_cds_WP_054020516.1_71",NA,"ABFT21_RS00360","hypothetical protein","WP_054020516.1"
"lcl_NZ_CP166677.1_cds_WP_231638132.1_72",NA,"ABFT21_RS00365","NAD(P)H-binding protein","WP_231638132.1"
"lcl_NZ_CP166677.1_cds_WP_054020515.1_73",NA,"ABFT21_RS00370","DUF2272 domain-containing protein","WP_054020515.1"
"lcl_NZ_CP166677.1_cds_WP_054020514.1_74",NA,"ABFT21_RS00375","endonuclease/exonuclease/phosphatase family protein","WP_054020514.1"
"lcl_NZ_CP166677.1_cds_WP_054020513.1_75",NA,"ABFT21_RS00380","tannase/feruloyl esterase family alpha/beta hydrolase","WP_054020513.1"
"lcl_NZ_CP166677.1_cds_WP_054020512.1_76",NA,"ABFT21_RS00385","Crp/Fnr family transcriptional regulator","WP_054020512.1"
"lcl_NZ_CP166677.1_cds_WP_054020511.1_77",NA,"ABFT21_RS00390","SOS response-associated peptidase family protein","WP_054020511.1"
"lcl_NZ_CP166677.1_cds_WP_054020510.1_78",NA,"ABFT21_RS00395","ATP-binding protein","WP_054020510.1"
"lcl_NZ_CP166677.1_cds_WP_231638131.1_79",NA,"ABFT21_RS00400","phosphodiesterase","WP_231638131.1"
"lcl_NZ_CP166677.1_cds_WP_054020509.1_80",NA,"ABFT21_RS00405","hypothetical protein","WP_054020509.1"
"lcl_NZ_CP166677.1_cds_WP_054020542.1_81",NA,"ABFT21_RS00410","LysE family translocator","WP_054020542.1"
"lcl_NZ_CP166677.1_cds_WP_054020508.1_82",NA,"ABFT21_RS00415","GGDEF domain-containing protein","WP_054020508.1"
"lcl_NZ_CP166677.1_cds_WP_054020507.1_83",NA,"ABFT21_RS00420","ferritin-like domain-containing protein","WP_054020507.1"
"lcl_NZ_CP166677.1_cds_WP_054020506.1_84","rpoN","ABFT21_RS00425","RNA polymerase factor sigma-54","WP_054020506.1"
"lcl_NZ_CP166677.1_cds_WP_054020505.1_85",NA,"ABFT21_RS00430","sigma 54-interacting transcriptional regulator","WP_054020505.1"
"lcl_NZ_CP166677.1_cds_WP_054020504.1_86",NA,"ABFT21_RS00435","diguanylate cyclase domain-containing protein","WP_054020504.1"
"lcl_NZ_CP166677.1_cds_WP_054020503.1_87",NA,"ABFT21_RS00440","ECF-type sigma factor","WP_054020503.1"
"lcl_NZ_CP166677.1_cds_WP_054020502.1_88",NA,"ABFT21_RS00445","serine/threonine-protein kinase","WP_054020502.1"
"lcl_NZ_CP166677.1_cds_WP_157548920.1_89",NA,"ABFT21_RS00450","hypothetical protein","WP_157548920.1"
"lcl_NZ_CP166677.1_cds_WP_439951444.1_90",NA,"ABFT21_RS00455","hemerythrin domain-containing protein","WP_439951444.1"
"lcl_NZ_CP166677.1_cds_WP_054020500.1_91",NA,"ABFT21_RS00460","haloacid dehalogenase type II","WP_054020500.1"
"lcl_NZ_CP166677.1_cds_WP_054020499.1_92",NA,"ABFT21_RS00465","DUF2917 domain-containing protein","WP_054020499.1"
"lcl_NZ_CP166677.1_cds_ABFT21_RS00470_93",NA,"ABFT21_RS00470","LysR substrate-binding domain-containing protein",NA
"lcl_NZ_CP166677.1_cds_WP_439951443.1_94",NA,"ABFT21_RS00475","DMT family transporter","WP_439951443.1"
"lcl_NZ_CP166677.1_cds_WP_054020498.1_95",NA,"ABFT21_RS00480","AraC family transcriptional regulator","WP_054020498.1"
"lcl_NZ_CP166677.1_cds_WP_054020497.1_96",NA,"ABFT21_RS00485","porin","WP_054020497.1"
"lcl_NZ_CP166677.1_cds_WP_054020496.1_97",NA,"ABFT21_RS00490","amino acid synthesis family protein","WP_054020496.1"
"lcl_NZ_CP166677.1_cds_WP_054020495.1_98",NA,"ABFT21_RS00495","bifunctional 3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase","WP_054020495.1"
"lcl_NZ_CP166677.1_cds_WP_054020494.1_99",NA,"ABFT21_RS00500","GntR family transcriptional regulator","WP_054020494.1"
"lcl_NZ_CP166677.1_cds_WP_054020539.1_100","glpD","ABFT21_RS00505","glycerol-3-phosphate dehydrogenase","WP_054020539.1"
"lcl_NZ_CP166677.1_cds_WP_054020493.1_101","glpK","ABFT21_RS00510","glycerol kinase GlpK","WP_054020493.1"
"lcl_NZ_CP166677.1_cds_WP_054020492.1_102","creD","ABFT21_RS00515","cell envelope integrity protein CreD","WP_054020492.1"
"lcl_NZ_CP166677.1_cds_WP_054020491.1_103",NA,"ABFT21_RS00520","tautomerase family protein","WP_054020491.1"
"lcl_NZ_CP166677.1_cds_WP_054020490.1_104","creC","ABFT21_RS00525","two-component system sensor histidine kinase CreC","WP_054020490.1"
"lcl_NZ_CP166677.1_cds_WP_054020489.1_105","creB","ABFT21_RS00530","two-component system response regulator CreB","WP_054020489.1"
"lcl_NZ_CP166677.1_cds_WP_054020488.1_106",NA,"ABFT21_RS00535","TRAP transporter large permease subunit","WP_054020488.1"
"lcl_NZ_CP166677.1_cds_WP_054020487.1_107",NA,"ABFT21_RS00540","TRAP transporter small permease subunit","WP_054020487.1"
"lcl_NZ_CP166677.1_cds_WP_054020486.1_108",NA,"ABFT21_RS00545","TRAP transporter substrate-binding protein","WP_054020486.1"
"lcl_NZ_CP166677.1_cds_WP_054020485.1_109",NA,"ABFT21_RS00550","MBL fold metallo-hydrolase","WP_054020485.1"
"lcl_NZ_CP166677.1_cds_WP_054020484.1_110",NA,"ABFT21_RS00555","YceI family protein","WP_054020484.1"
"lcl_NZ_CP166677.1_cds_WP_054020483.1_111",NA,"ABFT21_RS00560","YceI family protein","WP_054020483.1"
"lcl_NZ_CP166677.1_cds_WP_054020482.1_112",NA,"ABFT21_RS00565","YceI family protein","WP_054020482.1"
"lcl_NZ_CP166677.1_cds_WP_054020481.1_113",NA,"ABFT21_RS00570","cytochrome b","WP_054020481.1"
"lcl_NZ_CP166677.1_cds_WP_054020480.1_114",NA,"ABFT21_RS00575","hypothetical protein","WP_054020480.1"
"lcl_NZ_CP166677.1_cds_WP_054020479.1_115",NA,"ABFT21_RS00580","phosphoenolpyruvate carboxykinase (GTP)","WP_054020479.1"
"lcl_NZ_CP166677.1_cds_WP_054020478.1_116",NA,"ABFT21_RS00585","LacI family DNA-binding transcriptional regulator","WP_054020478.1"
"lcl_NZ_CP166677.1_cds_WP_157548913.1_117",NA,"ABFT21_RS00590","MBL fold metallo-hydrolase","WP_157548913.1"
"lcl_NZ_CP166677.1_cds_WP_054020476.1_118",NA,"ABFT21_RS00595","tetratricopeptide repeat protein","WP_054020476.1"
"lcl_NZ_CP166677.1_cds_WP_054020475.1_119",NA,"ABFT21_RS00600","response regulator","WP_054020475.1"
"lcl_NZ_CP166677.1_cds_WP_054020474.1_120",NA,"ABFT21_RS00605","ATP-binding protein","WP_054020474.1"
"lcl_NZ_CP166677.1_cds_WP_157548911.1_121",NA,"ABFT21_RS00610","hypothetical protein","WP_157548911.1"
"lcl_NZ_CP166677.1_cds_WP_231638129.1_122",NA,"ABFT21_RS00615","alpha/beta hydrolase-fold protein","WP_231638129.1"
"lcl_NZ_CP166677.1_cds_WP_054020472.1_123",NA,"ABFT21_RS00620","MOSC domain-containing protein","WP_054020472.1"
"lcl_NZ_CP166677.1_cds_WP_054020471.1_124","cysQ","ABFT21_RS00625","3'(2'),5'-bisphosphate nucleotidase CysQ","WP_054020471.1"
"lcl_NZ_CP166677.1_cds_WP_157548909.1_125",NA,"ABFT21_RS00630","DUF748 domain-containing protein","WP_157548909.1"
"lcl_NZ_CP166677.1_cds_WP_054020469.1_126",NA,"ABFT21_RS00635","alkene reductase","WP_054020469.1"
"lcl_NZ_CP166677.1_cds_WP_054020468.1_127",NA,"ABFT21_RS00640","zinc-binding alcohol dehydrogenase family protein","WP_054020468.1"
"lcl_NZ_CP166677.1_cds_WP_054020467.1_128",NA,"ABFT21_RS00645","LysR family transcriptional regulator","WP_054020467.1"
"lcl_NZ_CP166677.1_cds_WP_054020466.1_129",NA,"ABFT21_RS00650","23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ","WP_054020466.1"
"lcl_NZ_CP166677.1_cds_WP_054020465.1_130",NA,"ABFT21_RS00655","TonB-dependent receptor","WP_054020465.1"
"lcl_NZ_CP166677.1_cds_WP_054020464.1_131",NA,"ABFT21_RS00660","S9 family peptidase","WP_054020464.1"
"lcl_NZ_CP166677.1_cds_WP_054020463.1_132",NA,"ABFT21_RS00665","TonB-dependent receptor domain-containing protein","WP_054020463.1"
"lcl_NZ_CP166677.1_cds_WP_054020462.1_133",NA,"ABFT21_RS00670","helix-turn-helix domain-containing protein","WP_054020462.1"
"lcl_NZ_CP166677.1_cds_WP_054020538.1_134",NA,"ABFT21_RS00675","YiaA/YiaB family inner membrane protein","WP_054020538.1"
"lcl_NZ_CP166677.1_cds_WP_231638128.1_135",NA,"ABFT21_RS00680","hypothetical protein","WP_231638128.1"
"lcl_NZ_CP166677.1_cds_WP_054020536.1_136",NA,"ABFT21_RS00685","DUF2145 domain-containing protein","WP_054020536.1"
"lcl_NZ_CP166677.1_cds_WP_054020461.1_137",NA,"ABFT21_RS00690","MFS transporter","WP_054020461.1"
"lcl_NZ_CP166677.1_cds_WP_054020460.1_138","tgt","ABFT21_RS00695","tRNA guanosine(34) transglycosylase Tgt","WP_054020460.1"
"lcl_NZ_CP166677.1_cds_WP_054020459.1_139","queA","ABFT21_RS00700","tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA","WP_054020459.1"
"lcl_NZ_CP166677.1_cds_WP_054020458.1_140",NA,"ABFT21_RS00705","ATP-binding protein","WP_054020458.1"
"lcl_NZ_CP166677.1_cds_WP_054020457.1_141",NA,"ABFT21_RS00710","ATP-dependent DNA helicase RecG","WP_054020457.1"
"lcl_NZ_CP166677.1_cds_WP_054020456.1_142",NA,"ABFT21_RS00715","glucose 1-dehydrogenase","WP_054020456.1"
"lcl_NZ_CP166677.1_cds_WP_054020455.1_143",NA,"ABFT21_RS00720","tetratricopeptide repeat protein","WP_054020455.1"
"lcl_NZ_CP166677.1_cds_WP_054020454.1_144",NA,"ABFT21_RS00725","TetR/AcrR family transcriptional regulator","WP_054020454.1"
"lcl_NZ_CP166677.1_cds_WP_054020535.1_145",NA,"ABFT21_RS00730","ABC transporter ATP-binding protein","WP_054020535.1"
"lcl_NZ_CP166677.1_cds_WP_054020534.1_146",NA,"ABFT21_RS00735","ABC transporter permease","WP_054020534.1"
"lcl_NZ_CP166677.1_cds_WP_054020452.1_147",NA,"ABFT21_RS00740","BolA family protein","WP_054020452.1"
"lcl_NZ_CP166677.1_cds_WP_054020451.1_148","hisG","ABFT21_RS00745","ATP phosphoribosyltransferase","WP_054020451.1"
"lcl_NZ_CP166677.1_cds_WP_054020450.1_149","hisD","ABFT21_RS00750","histidinol dehydrogenase","WP_054020450.1"
"lcl_NZ_CP166677.1_cds_WP_054020449.1_150","hisC","ABFT21_RS00755","histidinol-phosphate transaminase","WP_054020449.1"
"lcl_NZ_CP166677.1_cds_WP_054020448.1_151","hisB","ABFT21_RS00760","imidazoleglycerol-phosphate dehydratase HisB","WP_054020448.1"
"lcl_NZ_CP166677.1_cds_WP_231638127.1_152","hisH","ABFT21_RS00765","imidazole glycerol phosphate synthase subunit HisH","WP_231638127.1"
"lcl_NZ_CP166677.1_cds_WP_054020447.1_153","hisA","ABFT21_RS00770","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino","WP_054020447.1"
"lcl_NZ_CP166677.1_cds_WP_054020446.1_154","hisF","ABFT21_RS00775","imidazole glycerol phosphate synthase subunit HisF","WP_054020446.1"
"lcl_NZ_CP166677.1_cds_WP_231638126.1_155","rsmD","ABFT21_RS00780","16S rRNA (guanine(966)-N(2))-methyltransferase RsmD","WP_231638126.1"
"lcl_NZ_CP166677.1_cds_WP_054020445.1_156","coaD","ABFT21_RS00785","pantetheine-phosphate adenylyltransferase","WP_054020445.1"
"lcl_NZ_CP166677.1_cds_WP_054020444.1_157",NA,"ABFT21_RS00790","YfhL family 4Fe-4S dicluster ferredoxin","WP_054020444.1"
"lcl_NZ_CP166677.1_cds_WP_054020443.1_158",NA,"ABFT21_RS00795","hypothetical protein","WP_054020443.1"
"lcl_NZ_CP166677.1_cds_ABFT21_RS00800_159","pth","ABFT21_RS00800","aminoacyl-tRNA hydrolase",NA
"lcl_NZ_CP166677.1_cds_ABFT21_RS00805_160",NA,"ABFT21_RS00805","integrase core domain-containing protein",NA
"lcl_NZ_CP166677.1_cds_WP_157549413.1_161",NA,"ABFT21_RS00810","hypothetical protein","WP_157549413.1"
"lcl_NZ_CP166677.1_cds_WP_157549416.1_162",NA,"ABFT21_RS00815","Hsp70 family protein","WP_157549416.1"
"lcl_NZ_CP166677.1_cds_WP_463938040.1_163",NA,"ABFT21_RS00820","IS5 family transposase","WP_463938040.1"
"lcl_NZ_CP166677.1_cds_WP_197284706.1_164",NA,"ABFT21_RS00825","dynamin family protein","WP_197284706.1"
"lcl_NZ_CP166677.1_cds_WP_157549114.1_165",NA,"ABFT21_RS00830","hypothetical protein","WP_157549114.1"
"lcl_NZ_CP166677.1_cds_WP_157549116.1_166",NA,"ABFT21_RS00835","hypothetical protein","WP_157549116.1"
"lcl_NZ_CP166677.1_cds_WP_463938036.1_167",NA,"ABFT21_RS00840","IS1634 family transposase","WP_463938036.1"
"lcl_NZ_CP166677.1_cds_ABFT21_RS00845_168","pth","ABFT21_RS00845","aminoacyl-tRNA hydrolase",NA
"lcl_NZ_CP166677.1_cds_WP_054021624.1_169",NA,"ABFT21_RS00850","50S ribosomal protein L25/general stress protein Ctc","WP_054021624.1"
"lcl_NZ_CP166677.1_cds_WP_054021625.1_170",NA,"ABFT21_RS00855","ribose-phosphate pyrophosphokinase","WP_054021625.1"
"lcl_NZ_CP166677.1_cds_WP_054021626.1_171","ispE","ABFT21_RS00865","4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase","WP_054021626.1"
"lcl_NZ_CP166677.1_cds_WP_231638206.1_172",NA,"ABFT21_RS00870","lipoprotein insertase outer membrane protein LolB","WP_231638206.1"
"lcl_NZ_CP166677.1_cds_WP_054021631.1_173",NA,"ABFT21_RS00875","tetratricopeptide repeat protein","WP_054021631.1"
"lcl_NZ_CP166677.1_cds_WP_054021627.1_174","mutM","ABFT21_RS00880","bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase","WP_054021627.1"
"lcl_NZ_CP166677.1_cds_WP_082368501.1_175","mutY","ABFT21_RS00885","A/G-specific adenine glycosylase","WP_082368501.1"
"lcl_NZ_CP166677.1_cds_WP_054021628.1_176",NA,"ABFT21_RS00890","LON peptidase substrate-binding domain-containing protein","WP_054021628.1"
"lcl_NZ_CP166677.1_cds_WP_054021629.1_177","rapZ","ABFT21_RS00895","RNase adapter RapZ","WP_054021629.1"
"lcl_NZ_CP166677.1_cds_WP_082368046.1_178","recN","ABFT21_RS00900","DNA repair protein RecN","WP_082368046.1"
"lcl_NZ_CP166677.1_cds_WP_054019177.1_179",NA,"ABFT21_RS00905","NAD kinase","WP_054019177.1"
"lcl_NZ_CP166677.1_cds_WP_054019176.1_180","hrcA","ABFT21_RS00910","heat-inducible transcriptional repressor HrcA","WP_054019176.1"
"lcl_NZ_CP166677.1_cds_WP_082368045.1_181",NA,"ABFT21_RS00915","HD domain-containing phosphohydrolase","WP_082368045.1"
"lcl_NZ_CP166677.1_cds_WP_054019175.1_182",NA,"ABFT21_RS00925","aspartyl protease family protein","WP_054019175.1"
"lcl_NZ_CP166677.1_cds_WP_054019174.1_183",NA,"ABFT21_RS00930","hypothetical protein","WP_054019174.1"
"lcl_NZ_CP166677.1_cds_WP_054019173.1_184",NA,"ABFT21_RS00935","hypothetical protein","WP_054019173.1"
"lcl_NZ_CP166677.1_cds_WP_054019172.1_185",NA,"ABFT21_RS00940","hypothetical protein","WP_054019172.1"
"lcl_NZ_CP166677.1_cds_WP_054019171.1_186",NA,"ABFT21_RS00945","hypothetical protein","WP_054019171.1"
"lcl_NZ_CP166677.1_cds_WP_054019170.1_187",NA,"ABFT21_RS00950","FAD-binding oxidoreductase","WP_054019170.1"
"lcl_NZ_CP166677.1_cds_WP_054019169.1_188",NA,"ABFT21_RS00955","glycosyltransferase","WP_054019169.1"
"lcl_NZ_CP166677.1_cds_WP_054019168.1_189",NA,"ABFT21_RS00960","SpoVR family protein","WP_054019168.1"
"lcl_NZ_CP166677.1_cds_WP_054019167.1_190",NA,"ABFT21_RS00965","YeaH/YhbH family protein","WP_054019167.1"
"lcl_NZ_CP166677.1_cds_WP_054019166.1_191",NA,"ABFT21_RS00970","PrkA family serine protein kinase","WP_054019166.1"
"lcl_NZ_CP166677.1_cds_WP_082368044.1_192","mdoH","ABFT21_RS00975","glucans biosynthesis glucosyltransferase MdoH","WP_082368044.1"
"lcl_NZ_CP166677.1_cds_WP_054019165.1_193",NA,"ABFT21_RS00980","glucan biosynthesis protein G","WP_054019165.1"
"lcl_NZ_CP166677.1_cds_WP_054019164.1_194",NA,"ABFT21_RS00985","sigma 54-interacting transcriptional regulator","WP_054019164.1"
"lcl_NZ_CP166677.1_cds_WP_054019163.1_195",NA,"ABFT21_RS00990","hypothetical protein","WP_054019163.1"
"lcl_NZ_CP166677.1_cds_WP_054019162.1_196",NA,"ABFT21_RS00995","ATP-binding protein","WP_054019162.1"
"lcl_NZ_CP166677.1_cds_WP_054019161.1_197",NA,"ABFT21_RS01000","putative toxin-antitoxin system toxin component, PIN family","WP_054019161.1"
"lcl_NZ_CP166677.1_cds_WP_054019160.1_198",NA,"ABFT21_RS01005","toxin-antitoxin system HicB family antitoxin","WP_054019160.1"
"lcl_NZ_CP166677.1_cds_WP_054019159.1_199",NA,"ABFT21_RS01010","ParB/RepB/Spo0J family partition protein","WP_054019159.1"
"lcl_NZ_CP166677.1_cds_WP_231638023.1_200",NA,"ABFT21_RS01015","RBBP9/YdeN family alpha/beta hydrolase","WP_231638023.1"
